,Unnamed: 0,avg_total_reward,avg_snake_size,avg_food_eaten,avg_moves,max_snake_size,max_food_eaten,max_moves,max_total_reward,model,combo
317,317,-12.605049999999999,0.585,0.0265,2.894,3,2,12,54.3,29,8
318,318,-11.474200000000002,0.6295,0.0835,4.5785,4,3,21,81.3,30,8
319,319,-12.099950000000002,0.604,0.0365,3.198,3,2,14,54.3,31,8
320,320,-11.5082,0.6225,0.0855,4.6385,3,2,19,54.3,32,8
321,321,-12.243900000000002,0.597,0.034,2.927,3,2,11,54.3,33,8
322,322,-12.133400000000002,0.6005,0.0275,2.8035,3,2,11,54.3,34,8
323,323,-12.394900000000002,0.591,0.0205,2.706,2,1,10,27.0,35,8
324,324,-12.2292,0.5985,0.032,3.3795,3,2,15,54.3,0,9
325,325,-12.3446,0.5905,0.028,2.8005,3,2,14,54.0,1,9
326,326,-11.406,0.6225,0.0895,4.5485,4,3,18,81.0,2,9
327,327,-11.38275,0.6285,0.0805,4.3665,4,3,18,81.6,3,9
328,328,-12.214450000000001,0.5955,0.0165,2.502,3,2,8,54.3,4,9
329,329,-12.0703,0.602,0.0685,4.7905,3,2,15,54.3,5,9
330,330,-11.905400000000002,0.606,0.073,4.5965,3,2,16,54.3,6,9
331,331,-11.650549999999999,0.6175,0.0805,4.5405,3,2,21,54.3,7,9
332,332,-11.676800000000002,0.612,0.0825,4.6645,3,2,17,54.3,8,9
333,333,-12.1061,0.592,0.076,4.9685,4,3,16,81.3,9,9
334,334,-11.987650000000002,0.601,0.063,4.808,3,2,15,54.3,10,9
335,335,-12.5934,0.582,0.0555,4.8835,3,2,15,54.3,11,9
336,336,-11.541549999999999,0.6235,0.0835,4.4375,4,3,18,81.6,12,9
337,337,-12.083400000000001,0.6015,0.067,4.4385,3,2,16,54.3,13,9
338,338,-11.8066,0.612,0.069,4.411,3,2,17,54.0,14,9
339,339,-11.851049999999999,0.6055,0.0725,4.9695,3,2,19,54.3,15,9
340,340,-12.22995,0.597,0.035,3.064,3,2,14,54.3,16,9
341,341,-11.928,0.6065,0.0705,4.8685,3,2,17,54.0,17,9
342,342,-12.380700000000001,0.5905,0.0235,2.7295,2,1,13,27.0,18,9
343,343,-11.494800000000001,0.6225,0.08,4.466,4,3,20,81.6,19,9
344,344,-12.321950000000001,0.5915,0.019,2.468,2,1,9,27.0,20,9
345,345,-11.8161,0.6095,0.073,4.6135,3,2,19,54.3,21,9
346,346,-11.946,0.605,0.0735,4.502,3,2,18,54.3,22,9
347,347,-11.954349999999998,0.6005,0.0685,5.018,3,2,15,53.400000000000006,23,9
